,text,sentiment
10,"aack burp - DONG ugh? PFFF? Kling - kling BEEP? psss aack! Beep Pfff pfff? Psss Ugh psss ugh Aack, PSSS Psss aack? Kling! CRACK! BURP! burp Beep BURP PSSS - UGH? beep Psss; DJEE UGH beep; Burp? BEEP, burp, aack BEEP Aack AACK - aack, dong, UGH; burp Burp BURP ",happy
11,"Aack Burp, AACK BURP Djee Psss UGH? BEEP: DJEE aack PSSS psss ugh KLING psss? aack Pfff! djee - CRACK: Ugh, DJEE AACK, Crack PFFF! DJEE BEEP, aack Psss kling, psss djee pfff DJEE? Ugh; AACK KLING, kling; Aack! AACK DJEE! ",sad
12,"Psss? Dong Kling: Crack crack aack PSSS; kling Pfff: Dong ugh Aack! burp Kling: Ugh pfff? crack Crack Dong KLING Psss KLING? kling dong: UGH Aack! kling; CRACK! ugh, Djee: djee; Psss, Burp - PSSS crack PFFF crack crack crack - Pfff Psss PSSS kling Burp: DONG KLING pfff: ",happy
13,"burp, Kling dong? Aack Kling - Aack - dong - DONG! Ugh DONG Dong Kling AACK Ugh Kling AACK psss PSSS burp? Psss; Kling: Ugh Aack DONG aack dong: Dong: AACK ",sad
14,"UGH! Beep! AACK CRACK AACK Pfff Djee burp DJEE: UGH pfff UGH beep, BEEP; PFFF; beep! djee PFFF ugh! DONG; Djee; Ugh dong BEEP Beep: DONG aack! burp? AACK, dong Aack: Ugh, AACK! Djee Djee? ugh PFFF Crack; dong BEEP Ugh CRACK ",sad
15,"Djee psss BURP: UGH PFFF; DONG Aack! Djee Pfff: CRACK Pfff Pfff? Ugh; Dong AACK: dong; CRACK: PFFF Kling kling UGH; Pfff UGH DJEE Crack psss Aack: Aack Beep - kling! CRACK! burp: AACK; Burp Beep: Dong: pfff: crack! Kling DJEE, CRACK; Ugh - pfff Dong! UGH: DJEE djee PSSS, DJEE AACK, ugh Beep: Djee UGH - Psss - Aack, Pfff Crack KLING Beep djee crack crack, ",happy
16,"pfff: beep psss psss - Burp! CRACK; BEEP? burp! Aack - BEEP, burp Beep - UGH UGH Psss psss; BURP: DJEE Psss kling burp Dong psss? Pfff: Djee BEEP - KLING! kling PSSS! UGH PSSS! ",sad
17,"psss crack; Beep Pfff? CRACK? Dong: PSSS; crack AACK - KLING: PSSS: psss, Crack Ugh, dong; CRACK - BEEP? DONG: BEEP beep: Psss! ugh: Ugh PFFF DONG BURP pfff, AACK beep, BEEP: CRACK - CRACK - ugh Psss, UGH; ugh: DONG - Pfff? dong beep Burp aack: BEEP Djee dong! DJEE Dong Ugh: Ugh, PSSS? aack! Djee! PFFF! pfff! burp, CRACK; Dong; ",happy
18,"kling dong Pfff BURP burp Crack Kling kling Aack KLING Pfff crack Ugh CRACK: BURP PSSS Aack, PFFF! pfff Crack - CRACK: DJEE! UGH AACK Kling crack beep! UGH Psss? DONG Ugh crack PFFF Pfff UGH UGH; pfff Crack Pfff, kling? UGH psss? Djee! PFFF - CRACK? PSSS? ",happy
19,"dong - Kling DONG PFFF Ugh dong beep; BEEP DONG PFFF CRACK! ugh ugh BEEP PFFF! Kling kling, Kling UGH kling? kling Pfff BURP burp beep? PFFF? Kling BEEP beep - beep djee: Kling UGH; PFFF Pfff PFFF, ",sad
20,"Aack, ugh BURP pfff AACK aack Dong DJEE psss, Pfff aack - djee, djee Psss psss pfff PSSS, djee? PFFF DONG - AACK psss! burp psss PSSS? BURP; kling? Dong - Djee! burp Aack DJEE Kling, PSSS; DONG: Pfff aack! Crack, CRACK Dong! Djee: Crack - burp aack; dong; Psss! ",happy
21,"djee djee djee BEEP; Psss? Aack, Kling! PFFF BEEP BURP; Pfff? pfff PFFF Djee, DJEE BURP; AACK Kling, Beep; ugh - Kling ",sad
22,"Dong crack kling? PFFF crack DONG! crack? KLING PSSS PSSS aack CRACK; AACK: PSSS, PSSS dong Pfff; kling - Aack, pfff djee kling Djee - Psss kling Aack: crack Psss! PFFF djee Kling? BEEP; Kling; UGH - BEEP; pfff? Aack PFFF? Beep; Djee! PFFF; Burp PFFF CRACK! aack aack AACK? kling KLING; crack! ",happy
23,"Crack? PSSS djee BEEP crack CRACK: dong KLING: ugh, Aack PSSS KLING aack BEEP Beep: kling: dong! Psss, psss: djee BURP djee - Kling aack kling BURP DONG psss: Dong djee; Ugh pfff PSSS Kling - psss Psss, Burp: aack? Crack Psss DJEE? dong? Aack Beep; dong: Burp, DONG Djee ",happy
24,"kling; DJEE Kling? burp: Psss burp! Aack aack! burp, psss aack! PFFF Djee; Pfff; pfff djee? UGH? kling Psss aack? Aack aack - djee Kling PSSS? Psss, Beep - burp! dong; psss DJEE Burp BURP psss beep; burp BURP Ugh psss KLING, Crack crack ugh, burp ",happy
25,"Ugh - Psss crack DONG Psss Psss; PFFF PSSS Beep BEEP - dong: pfff: crack! dong? ugh - DJEE Beep dong pfff; Beep PSSS? Djee! PSSS, Djee, Psss DJEE! Djee CRACK PSSS Ugh PFFF KLING PSSS; ",sad
26,"Pfff Ugh: KLING djee: psss UGH BEEP beep djee! Pfff; UGH aack beep DONG? Psss crack? AACK: djee! Kling! CRACK? Dong? Crack! AACK? crack, pfff: BEEP? Kling AACK kling Djee PSSS Kling; UGH, pfff: kling psss! Crack! Dong - pfff; djee? Aack pfff KLING; pfff KLING Ugh? Aack crack aack? Kling Aack DONG, ",happy
27,"burp PSSS Psss burp PSSS dong Burp djee; Beep Dong Psss, KLING Ugh? psss pfff aack? Aack? djee Psss, kling, ugh; ugh burp: DONG ugh BEEP! UGH! Beep! dong ugh UGH; ugh Dong - Burp Dong; AACK: Psss PFFF ",sad
28,"PSSS aack? aack? aack UGH aack, BURP! crack, djee; Dong: Djee; Dong aack BURP? Ugh UGH, ugh DONG Aack djee? djee djee Pfff; PSSS BURP? AACK; UGH - crack; Pfff? Psss, DONG! ugh burp; ugh - aack: PFFF? Aack PSSS? ",sad
29,"pfff, Aack ugh Pfff: ugh, Ugh, Pfff BURP PSSS Djee? Crack! DONG? DJEE UGH - CRACK pfff; BURP PSSS? psss: PSSS Ugh PFFF! ugh! burp: burp! Djee UGH crack AACK BEEP Psss - Djee - Aack Dong CRACK: BURP Djee Psss ",sad
30,"Aack dong? Crack KLING dong KLING AACK Aack Kling: AACK - KLING dong Kling; DONG BURP Ugh; crack DONG - KLING Ugh ugh! DJEE! kling - Crack - aack Ugh, kling - UGH dong BURP AACK DONG! Burp kling? pfff dong Crack; djee? UGH: BURP; AACK, Crack: aack: AACK! CRACK Burp ",happy
31,"Ugh CRACK, burp - Burp Psss BURP? kling, djee Dong: CRACK AACK PFFF? Psss Ugh BEEP? aack! BURP AACK PSSS burp; ugh: Aack! ugh Pfff, Ugh Djee Burp: CRACK Aack? psss - aack Kling PFFF? Djee; Djee Burp, UGH Ugh Psss: Psss AACK, Crack! pfff: aack? crack Aack - Kling - djee beep CRACK Dong - UGH ",happy
32,"Ugh Pfff! PSSS aack Ugh? beep Kling UGH: DONG KLING! Pfff - Pfff; CRACK Burp crack, BEEP psss BURP - DONG UGH? beep BURP Crack ugh, Kling! Ugh AACK Kling KLING: Crack Dong; Burp Ugh - DONG; djee Burp pfff? Aack Beep PSSS? AACK - Dong, DONG - Pfff! Aack - Pfff Ugh ",happy
33,"crack Kling CRACK: Dong: Burp: CRACK burp KLING, DONG Beep, beep PFFF DONG: Burp BURP aack Dong CRACK; Psss dong - Crack Psss kling pfff Kling, beep psss Psss! pfff, burp? crack crack, BURP? PSSS! aack dong kling! Dong aack Dong - dong Crack AACK? aack CRACK: ",happy
34,"Crack DJEE; Ugh? Kling; UGH DONG psss: Aack! Crack ugh djee, ugh? DONG! Dong, Djee UGH ugh, crack; aack Psss; Crack! psss crack ugh - AACK Dong Pfff aack: PSSS PSSS aack? Crack Pfff, DJEE, KLING crack DJEE, DONG? kling - KLING! Kling? Pfff Psss Dong? PFFF; Djee! Dong: dong ugh Crack kling CRACK; ",happy
35,"CRACK CRACK pfff! kling? DJEE PFFF! Pfff: djee - DONG, AACK! Ugh Aack: kling - Kling: Pfff CRACK? CRACK Pfff; Dong UGH; crack DONG Crack; crack Kling pfff? KLING Pfff, DJEE pfff pfff Dong - CRACK CRACK! Djee? ",sad
36,pfff! PFFF BEEP BEEP Djee; DJEE Aack: beep Djee: Burp BEEP: DJEE: crack? crack - Pfff BURP Burp; Psss BURP kling Beep pfff: aack KLING: BURP? CRACK? Djee; djee BURP; burp Burp - pfff - Beep Beep; aack: burp beep BEEP kling ,sad
37,"Crack? Ugh; dong DJEE Beep Psss; pfff djee - Aack dong: PFFF; AACK psss: aack; Dong CRACK: CRACK: Dong Psss Beep DJEE djee PFFF Burp PSSS - AACK, crack - DONG - UGH djee, aack Crack! dong! UGH - ugh burp! beep AACK, DJEE; DONG; ugh - AACK psss Crack: UGH? PFFF djee - crack CRACK, DONG Aack beep - Psss Aack? Beep Beep ",happy
38,"AACK! Psss Burp - PSSS crack Pfff! psss pfff psss BURP Kling crack djee PFFF? Dong! CRACK, Djee: psss! DJEE PSSS; CRACK, burp Dong beep pfff, AACK dong, AACK Dong Pfff: Burp, Pfff - Pfff crack - PFFF - Djee? PFFF, burp Aack beep Djee: Psss BEEP Kling: aack aack ",happy
39,"Djee - ugh Dong BEEP? UGH! DONG! Dong Kling; Dong, UGH psss; psss, Pfff: KLING DONG: psss, PSSS Crack: DJEE? pfff! AACK: KLING DONG BEEP Pfff - UGH: kling ugh! dong Psss: UGH; Dong beep PFFF Kling - Pfff pfff, pfff DONG BEEP; DJEE Pfff ugh! Ugh Pfff - ugh Kling - kling ",happy
40,"DJEE - djee - Djee; DJEE; Kling Djee? crack: Kling! ugh CRACK BURP Djee? Crack Crack Ugh beep! burp Beep Beep, KLING? CRACK Ugh: Pfff Kling? crack BURP! Beep, CRACK djee Djee, kling - Kling, BEEP: beep beep BEEP BURP! Ugh AACK psss Crack; ",sad
41,"CRACK BEEP! Kling KLING DONG - Psss PFFF dong crack Psss Ugh? PFFF? Kling, kling burp Burp Burp Crack! Crack AACK - Djee - Pfff; Djee, Djee Pfff? aack; Burp? djee Pfff aack CRACK - KLING: djee: crack: AACK BURP Pfff PSSS - Kling! Burp! DONG burp kling? DONG, aack - CRACK; Psss - Aack! ",happy
42,"PSSS Dong ugh CRACK! AACK; Aack, KLING; burp! crack; AACK beep: psss? ugh, Ugh UGH djee: PFFF DONG! burp - kling - DJEE; DONG BEEP; DJEE, aack! Burp! Aack Kling? DJEE, Beep, CRACK Djee AACK Beep kling KLING beep - Kling psss CRACK Burp? beep DONG BURP djee Kling, Crack; ",happy
43,"BEEP Beep kling BURP PSSS CRACK Psss Crack Dong: crack, DJEE Burp Kling: DJEE, BEEP UGH Aack BEEP! BEEP? psss! KLING CRACK, DJEE! ugh aack ugh! CRACK - Crack! ugh Djee: PSSS aack crack; beep; crack AACK? Dong KLING, beep! AACK DONG - UGH dong: Beep Djee djee burp; ",happy
44,"ugh; Psss - Aack PSSS - psss dong - Djee kling Burp BURP CRACK, Burp? CRACK AACK; Pfff pfff; dong Dong - aack: Burp djee burp: psss Burp Psss DONG! Burp DJEE! Ugh! BURP - dong! pfff Ugh crack Psss psss Djee: dong? kling - DJEE; dong Dong: psss kling dong CRACK DJEE BURP kling ",happy
45,"crack DJEE; DONG, djee BURP? PSSS burp - Djee? kling BEEP, Djee; AACK! Burp; beep? UGH PSSS? Aack: CRACK BEEP, djee pfff? ugh, DJEE burp Beep beep? kling - Ugh Ugh Kling KLING Beep, Psss? ",sad
46,"Beep kling! beep Crack kling, PSSS - ugh DONG; beep dong! Crack: KLING crack - Psss! djee kling aack Crack CRACK crack - DONG, Beep Aack kling, KLING aack ugh! aack? Aack UGH psss, djee: psss; Dong DJEE; Beep! psss: BEEP AACK Dong, aack Beep! ugh DJEE! DJEE beep - UGH; ",happy
47,"Beep djee - crack DONG? ugh; BEEP; BEEP, Burp, burp ugh; psss: BEEP crack, psss beep! ugh ugh; dong Burp! Crack ugh: BEEP - KLING! crack CRACK - DONG: BEEP ",sad
48,"beep CRACK! beep: Pfff! CRACK! beep? dong DJEE Pfff crack! beep, pfff Crack! pfff dong; DONG? pfff, Aack Kling! Beep CRACK: Pfff? dong Ugh psss, Dong, AACK; Burp Pfff UGH Kling; Dong: CRACK BURP; Djee DJEE DONG? CRACK dong DONG Burp - Ugh? ",sad
49,"beep: dong DJEE Aack - BEEP aack, PSSS; Djee: Ugh, dong psss DONG ugh - DJEE kling? AACK, Ugh kling; UGH Kling beep Djee, DJEE, DONG! Dong? kling; Djee DONG beep ugh ugh: KLING: DJEE ugh KLING Djee? Dong; DONG Kling, Djee! ",sad
50,"Dong Crack ugh KLING kling KLING pfff beep Ugh! psss Beep: Burp Beep Pfff, DONG beep ugh - BEEP CRACK psss - crack? psss PSSS Pfff? Dong Pfff Beep crack; Ugh dong Dong ugh; psss, AACK! DJEE DJEE - Aack Psss: Dong? AACK, Kling? DJEE psss - Aack; Burp psss, DONG ",happy
51,"Beep: BURP! Dong: Kling djee Aack? BURP: dong! DONG PSSS! PSSS; PSSS, beep AACK psss; Psss - DJEE, kling, Ugh beep? Burp Dong aack pfff, dong: ugh - PSSS - crack, Crack? psss? dong crack; aack, crack burp! BURP Crack! dong Aack Crack dong? Pfff Djee; Burp CRACK CRACK BURP! DJEE - ugh PFFF; ",happy
52,"Djee ugh? pfff CRACK DONG ugh, CRACK! Psss? burp kling DONG ugh Dong? psss DONG ugh Aack; BURP - Psss ugh? burp - CRACK DONG, PSSS; BURP Crack; Ugh Kling Crack - PFFF? DONG: UGH Psss CRACK Crack! PSSS Ugh; PFFF, Burp Djee CRACK UGH psss Psss! Pfff Kling? DONG ",happy
53,"BURP ugh KLING Psss; Dong Ugh BURP; DJEE ugh, DONG Ugh Burp; ugh; psss Psss, KLING Burp CRACK psss, burp Kling BURP Kling? CRACK DJEE, PFFF UGH UGH CRACK, ugh CRACK kling kling Burp PSSS Psss crack: Kling kling Ugh: Crack? ",sad
54,"Beep PSSS? Psss: pfff, BURP aack! CRACK; Djee: Pfff ugh beep burp Pfff: Aack; crack Psss beep, Dong - beep dong dong, Beep: dong Pfff Aack, crack: dong Pfff BURP; BURP burp, Crack PFFF Crack! ugh; djee BURP - Crack DONG pfff crack: Psss aack Beep dong, Dong, ugh! Djee aack? dong, BURP? pfff: AACK ",happy
55,"djee, PSSS - burp Djee Aack Burp! BURP Djee; DJEE - BURP - BURP DONG: PFFF DJEE; UGH! BURP CRACK? Crack, Crack DJEE! AACK: BURP! pfff! burp; CRACK; Aack - AACK crack: pfff aack AACK - crack BURP - ",sad
56,djee - Beep DJEE - Beep PFFF KLING? Aack PFFF? Crack Burp! aack; pfff crack! kling: pfff DONG beep Aack? pfff? djee Djee; Kling CRACK: CRACK: Beep! BEEP beep: CRACK: Beep; dong: djee: DJEE! Djee beep: ,sad
57,"dong; BURP: UGH! BURP psss BEEP, Crack burp! DJEE dong! Burp DJEE pfff; UGH! PSSS BEEP ugh: UGH dong? PSSS! UGH! CRACK - Djee, djee; psss UGH Pfff, Pfff! BEEP Aack! beep burp UGH; burp! Djee Crack; UGH Beep - BURP Crack; Beep! PFFF BEEP; AACK! Dong - Kling kling crack BEEP; DJEE; AACK; ",happy
58,"ugh Ugh - KLING, KLING psss Burp Beep pfff, Kling burp aack; burp! UGH UGH Psss; Burp KLING: ugh Psss? DONG, pfff? Ugh PSSS; Pfff PFFF - Ugh! BEEP Pfff Aack PFFF; Crack, psss? Kling Crack PSSS Psss beep Ugh PSSS Aack beep pfff; kling - UGH PFFF, pfff? KLING - ",happy
59,"PSSS, ugh Beep, Beep Ugh; dong beep BURP: dong, PFFF pfff crack! CRACK Aack PFFF Crack pfff DONG CRACK, AACK; AACK PSSS - CRACK: BURP! dong psss! BURP dong; AACK, Pfff: dong - burp? Pfff pfff pfff: DONG; Beep psss CRACK Burp BURP; dong BURP ",happy
60,"pfff beep! Crack; BEEP? pfff; PFFF pfff: Crack - kling; kling, Kling, Psss, CRACK Pfff crack AACK! Dong? Pfff BEEP: Beep aack, KLING: Burp KLING - PSSS; PFFF PFFF? ugh Djee Ugh, burp? BURP Kling BEEP; Aack Beep AACK - Psss - Crack burp burp, psss DJEE BURP - UGH: DONG Burp - beep: kling BEEP PSSS, dong crack: Aack? ugh; Ugh burp - Beep? CRACK - AACK ",happy
61,"UGH djee pfff, Crack! Ugh? djee: ugh Djee Dong Aack! BURP - BEEP! DONG dong ugh AACK - CRACK crack aack Aack - psss! crack? Ugh: PSSS: Psss Beep, djee Crack psss DONG pfff: Beep; PSSS DONG - PSSS CRACK, beep: djee Burp DONG: PSSS AACK, djee, ugh Crack: AACK, kling dong, Dong, burp, CRACK Psss Burp djee Ugh: Aack aack BURP Pfff djee ",happy
62,"pfff PSSS Crack psss CRACK DJEE Djee Djee! PFFF? Ugh BEEP Djee, ugh pfff, ugh DJEE, psss? DJEE Psss CRACK CRACK - ugh crack beep Aack? beep; Ugh - Kling Beep! psss PSSS! Ugh crack: kling pfff BEEP BEEP, BEEP, Aack ugh - KLING DJEE, Aack, BURP UGH aack BURP, kling, pfff - Beep? beep pfff Aack BURP? psss Aack: kling Pfff aack UGH Psss! aack; ",happy
63,"psss - BEEP; crack; Psss Pfff beep crack aack UGH! Aack; Aack ugh crack! PFFF, burp, Psss Ugh, aack: Crack - burp! crack: ugh PSSS! burp - Aack Ugh? beep beep psss, pfff - PSSS; AACK UGH PSSS BEEP Dong UGH ugh - BURP aack BEEP PSSS Burp crack: CRACK! AACK burp, Beep ",happy
64,"BURP Psss? PSSS; KLING? Djee: Beep? UGH psss! ugh - beep BEEP pfff beep BEEP ugh BURP, Pfff! Psss, Ugh; Kling BURP burp, Psss: BURP - burp pfff Beep KLING psss, Pfff PFFF pfff, Psss PFFF pfff kling, Kling: PSSS: pfff Burp psss? Beep Aack: BEEP ",happy
65,"Dong aack DONG djee crack; Crack Ugh! Djee - BURP: AACK: kling Djee Kling: DJEE Burp - PSSS; Ugh! Kling? kling? kling Burp, UGH - burp! Aack Psss: Psss: UGH PSSS - djee Aack! psss PSSS? Ugh, Beep Djee Crack djee, psss crack - Kling ",sad
66,"BURP Djee: Aack Djee Aack ugh; Burp AACK DJEE aack aack Psss? Burp Djee! Kling; Psss; Aack? AACK Ugh Crack, Ugh djee psss? Ugh, crack Crack psss - Crack BURP - ugh? Psss CRACK - Ugh; ugh - Crack Ugh: Aack psss: psss - psss: dong Burp CRACK PFFF BURP burp burp: ",happy
67,"CRACK? Dong, beep UGH DONG; BURP - KLING? Djee CRACK aack djee UGH Burp DJEE: Crack UGH BURP BEEP DONG; ugh: DONG PFFF aack Crack; djee DONG? beep Pfff: Djee! PFFF AACK ugh kling; DONG; PFFF Ugh Aack Ugh? KLING Ugh; crack: Dong BEEP: Ugh - crack: Aack, Aack; aack BURP - AACK; Djee! Dong ",happy
68,"dong - Crack? dong dong Dong? BEEP crack? aack Djee - dong Crack! dong KLING: aack! kling KLING! Kling; Beep psss CRACK: aack? BEEP Kling Aack Aack; BEEP? kling DJEE! djee psss! Psss; Crack! psss Djee, aack? DJEE Beep Beep? crack djee: Beep, Kling! CRACK: AACK BURP! Djee crack? Psss KLING CRACK, ",happy
69,"PSSS; crack, CRACK Dong - dong, psss? PSSS, burp Dong DONG burp burp Psss? Crack! PSSS - Crack Dong Dong? AACK: PSSS? BURP: pfff! Dong, pfff? Burp! dong Crack? DONG Burp Psss burp CRACK PSSS psss ",sad
70,"burp, ugh Pfff? djee djee; PSSS! Pfff pfff burp; beep Psss Djee; Aack BURP Kling; UGH Aack beep DONG; Dong djee? djee! Burp kling psss: pfff, Djee, pfff Aack? Burp, DJEE! BEEP PFFF? psss? ",sad
71,"Kling BURP psss psss beep: Beep! BEEP? kling; Djee! Djee! dong? beep Aack Djee dong AACK? DONG - DONG PSSS UGH, beep! Burp: Pfff DJEE: kling Beep PSSS: BEEP DONG; DONG? Djee psss Psss! BURP, Djee Djee! dong Pfff - pfff! UGH Dong ",sad
72,"Beep; CRACK BEEP! Beep pfff Burp; Dong: PFFF! Kling ugh! pfff - pfff ugh PFFF; Ugh - djee DONG UGH? AACK, CRACK, Psss - Crack Ugh Psss ugh Crack, UGH pfff BURP, aack Crack? ugh: Beep BURP - dong - Crack! ",sad
73,"Djee Djee pfff AACK UGH - Pfff, Kling? djee DONG DJEE! DONG? Burp Crack kling aack - Beep Aack? crack? CRACK, PFFF? DONG DJEE, Pfff: Dong! Dong! CRACK; KLING KLING djee; PSSS! UGH pfff Djee! CRACK - CRACK? aack ugh: Crack AACK aack aack beep; djee: Dong dong? pfff UGH; DJEE? Psss; Aack, crack DONG - CRACK? ",happy
74,"Djee crack! PSSS DONG; PSSS! DJEE? DONG; DJEE! CRACK DJEE Psss BURP DJEE Djee DONG - Pfff PFFF? Crack! Pfff! PSSS; DONG psss pfff? aack! PSSS: CRACK; Djee crack DONG burp; Dong: Psss PFFF! psss - crack aack, ",sad
75,"ugh DONG; KLING - Aack: DJEE! Ugh kling; KLING? Beep! BEEP - crack; kling UGH, AACK? ugh: KLING djee, CRACK CRACK DJEE Djee; crack pfff kling burp? Burp - CRACK Djee aack Kling UGH CRACK djee? Crack - Dong crack BURP, crack aack Dong beep BURP! psss: Djee aack! DJEE: Burp? Aack - AACK DONG: PSSS, Aack DONG ",happy
76,"CRACK psss - dong! BURP? dong DJEE dong: kling? UGH UGH? CRACK PFFF burp Pfff dong; Pfff djee! crack pfff BEEP, burp crack; BURP! DJEE Pfff CRACK Aack? Crack Crack aack BEEP? DJEE crack; Ugh, djee Ugh burp? Crack Djee: pfff DJEE Dong! pfff Djee? Beep ",happy
77,"DJEE? DONG beep Djee - BEEP kling KLING, ugh Kling, dong: beep KLING DONG, kling? ugh kling! ugh Crack! Djee! aack Djee: DONG; beep - djee AACK; KLING; CRACK UGH, DJEE? djee; Dong Kling? crack? DJEE, beep! Psss? pfff: UGH AACK? Aack? kling, Psss ugh; psss - beep - ",happy
78,"Crack! Kling; psss Psss ugh Psss Crack, djee aack crack BURP? DJEE! crack AACK! CRACK crack DJEE dong Dong? burp crack Beep DJEE CRACK: DONG; BURP Dong DONG, Djee Burp; Djee! crack DONG! burp djee BURP Aack: BURP ",sad
79,"PSSS djee? Aack Crack djee Dong PFFF, AACK - djee aack! Kling; Djee DJEE? UGH kling Pfff! Aack! pfff Dong! Psss Psss? Crack djee dong! dong; DJEE, BEEP? KLING - psss BEEP - DONG! ugh psss? djee; pfff Kling! Psss: DONG: burp; Djee: Kling BEEP kling Kling? crack PFFF: Beep, pfff: DONG: Crack Pfff UGH burp aack: Aack? DONG Psss? ",happy
80,"aack DONG Kling, psss BURP BURP Dong? Ugh Crack CRACK Aack dong - crack - djee: aack psss Djee! Psss Aack DONG AACK aack - dong Psss Psss - PSSS! PSSS; Ugh AACK dong dong: crack Pfff AACK dong - DJEE: kling? Ugh: UGH! pfff Ugh psss! Dong Ugh DJEE? UGH: UGH, kling, Burp ugh ",happy
81,"UGH BURP Djee - Crack - UGH DJEE Crack? Ugh Burp: aack KLING burp: DJEE ugh BURP, aack aack djee - crack? KLING! Kling ugh beep BEEP? BURP, burp Crack Psss aack: burp PSSS; Crack burp - Crack BEEP! psss! burp, CRACK? ",sad
82,"CRACK Dong - Djee UGH PSSS DONG pfff psss; ugh Burp Aack djee; aack dong! pfff: Psss, kling; CRACK Psss Crack - Kling, Beep - PFFF crack? Dong? crack; Burp aack dong BURP: Aack? ugh psss beep Dong psss; DONG PSSS: ugh; PSSS, crack psss, ugh Pfff - PFFF PFFF Aack ugh: AACK aack djee! ugh aack; dong, AACK! ",happy
83,"Aack Ugh! burp; PSSS? dong - BURP, aack: CRACK AACK - Beep - AACK Beep! Beep Ugh - Djee: burp AACK - psss DONG! DONG: UGH: Burp UGH aack dong CRACK DONG Aack KLING; Djee UGH? Dong; Ugh Aack Aack: Burp, ",sad
84,"BURP - PFFF AACK Beep? Crack ugh burp? djee Crack: UGH Psss? crack kling! crack, DONG BEEP? CRACK BURP: pfff PFFF Dong BEEP! djee burp BEEP! dong beep - KLING, Dong? crack; Crack DJEE; Burp: beep beep! burp psss, DJEE burp burp: dong PFFF ",sad
85,"Beep; BEEP crack - PFFF: CRACK? pfff - Ugh Pfff Pfff, Ugh? crack ugh: BEEP: aack! psss crack Crack? Kling CRACK; beep Beep? PFFF - Dong PSSS pfff CRACK; Ugh, UGH kling Beep: Beep Kling Psss! Burp, Beep; Beep? Pfff DONG BURP Ugh; Crack PFFF: ugh Ugh; kling, Kling: Kling ",happy
